site_name,site_id,date,time,depth_cm,temperature_C,latitude,longitude,northing,easting,utm_zone,geom
Grand Mesa,6S26,2020-02-12,09:05:00-06:00,112.0,-8.6,39.01840133132336,-108.16733062913784,4322637.0,745243.0,12,POINT (745243 4322637)
Grand Mesa,1C5,2020-02-12,11:26:00-06:00,82.0,-8.5,39.061878982532896,-108.21555925985339,4327334.0,740919.0,12,POINT (740919 4327334)
Grand Mesa,2C13,2020-02-12,10:12:00-06:00,81.0,-10.4,39.04960898152875,-108.20090613984591,4326011.0,742229.0,12,POINT (742229 4326011)
Grand Mesa,1N1,2020-02-08,08:56:00-06:00,67.0,-7.5,39.03462263819978,-108.22143536040502,4324293.0,740503.0,12,POINT (740503 4324293)
Grand Mesa,3N26,2020-02-08,13:25:00-06:00,107.0,-4.3,39.033414452606706,-108.18423063033835,4324258.0,743728.0,12,POINT (743728 4324258)
Grand Mesa,1C1,2020-02-08,08:30:00-06:00,77.0,-6.0,39.0642879744535,-108.22023722363949,4327589.0,740506.0,12,POINT (740506 4327589)
Grand Mesa,1S17,2020-02-08,15:30:00-06:00,98.0,-4.2,39.01975162153016,-108.18178193047407,4322748.0,743987.0,12,POINT (743987 4322748)
Grand Mesa,2S7,2020-02-08,11:35:00-06:00,75.0,-4.9,39.01865995406138,-108.1977854628225,4322584.0,742605.0,12,POINT (742605 4322584)
Grand Mesa,9N28,2020-02-08,14:45:00-06:00,111.0,-5.6,39.03238725647706,-108.18012467883192,4324155.0,744087.0,12,POINT (744087 4324155)
Grand Mesa,1S2,2020-02-08,09:37:00-06:00,81.0,-8.4,39.01994779611797,-108.20339351497944,4322712.0,742115.0,12,POINT (742115 4322712)
Grand Mesa,6N16,2020-02-08,11:25:00-06:00,121.0,-2.7,39.0314654766901,-108.19157340941047,4324022.0,743099.0,12,POINT (743099 4324022)
Grand Mesa,2N8,2020-02-08,09:51:00-06:00,85.0,-6.0,39.035643652813285,-108.20347909967059,4324454.0,742054.0,12,POINT (742054 4324454)
Grand Mesa,2S16,2020-02-08,14:05:00-06:00,94.0,-4.2,39.018771897245045,-108.18224815197748,4322638.0,743950.0,12,POINT (743950 4322638)
Grand Mesa,6N17,2020-02-10,10:40:00-06:00,119.0,-3.8,39.034722529381916,-108.19139818818519,4324384.0,743103.0,12,POINT (743103 4324384)
Grand Mesa,5N11,2020-02-10,14:37:00-06:00,98.0,-2.6,39.03565288415065,-108.19973608354715,4324465.0,742378.0,12,POINT (742378 4324465)
Grand Mesa,TLSFL2A,2020-02-10,09:00:00-06:00,90.0,-6.6,39.036675561290046,-108.18944946522562,4324606.0,743265.0,12,POINT (743265 4324606)
Grand Mesa,2N49,2020-02-10,15:16:00-06:00,95.0,-8.7,39.0297445985429,-108.1488936614688,4323946.0,746800.0,12,POINT (746800 4323946)
Grand Mesa,9N39,2020-02-10,12:30:00-06:00,100.0,-7.4,39.03100485505445,-108.16621500772312,4324039.0,745296.0,12,POINT (745296 4324039)
Grand Mesa,5N10,2020-02-10,12:57:00-06:00,101.0,-8.7,39.03313357091124,-108.1998702400016,4324185.0,742375.0,12,POINT (742375 4324185)
Grand Mesa,8N35,2020-02-10,13:33:00-06:00,117.0,-1.2,39.03245950230375,-108.17009569416349,4324190.0,744955.0,12,POINT (744955 4324190)
Grand Mesa,8S41,2020-02-10,10:30:00-06:00,95.0,-6.0,39.01659118756255,-108.1496186870944,4322484.0,746783.0,12,POINT (746783 4322484)
Grand Mesa,2S45,2020-02-10,08:44:00-06:00,90.0,-6.4,39.015648651427696,-108.14350146361176,4322396.0,747316.0,12,POINT (747316 4322396)
Grand Mesa,8C31,2020-02-09,12:30:00-06:00,100.0,-4.4,39.02143771633994,-108.16401029790835,4322983.0,745520.0,12,POINT (745520 4322983)
Grand Mesa,8C32,2020-02-09,13:50:00-06:00,91.0,-4.7,39.02048316002895,-108.16328623965872,4322879.0,745586.0,12,POINT (745586 4322879)
Grand Mesa,9C23,2020-02-09,09:00:00-06:00,87.0,-6.8,39.02807965548042,-108.17560663402772,4323689.0,744493.0,12,POINT (744493 4323689)
Grand Mesa,5C27,2020-02-09,10:35:00-06:00,100.0,-4.0,39.025465613209185,-108.17368954811853,4323404.0,744668.0,12,POINT (744668 4323404)
Grand Mesa,GML,2020-02-03,14:00:00-06:00,115.0,-7.0,39.03917728514604,-108.00312448979254,4325399.0,759386.0,12,POINT (759386 4325399)
